Series Name,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Stock price volatility,Japan,JPN,15.04194,24.82241,21.98469,22.12802,18.79222,16.96958,15.80886,15.17601,21.7672,22.11762,21.63777,22.28609,23.50624,21.74023,19.80779,15.618,16.30069,18.39456,26.18073,38.22249,25.48073,20.75535,19.7859,20.18368,22.28234,18.2754,24.89919,21.02885,13.43602,16.53054,19.30813,19.26422
Stock price volatility,United States,USA,14.15838,16.07158,12.99575,9.947115,9.037936,9.045654,9.915802,13.42705,18.30123,20.89885,20.44292,22.08035,22.40724,24.67943,15.37389,11.0255,10.44469,11.51341,21.41668,39.57303,26.41881,18.59477,21.04165,13.91965,11.29103,12.56322,15.72065,11.00858,11.12038,15.48678,26.74141,24.99284
Stock price volatility,"Korea, Rep.",KOR,25.1404,22.09727,23.65894,21.81715,16.84714,33.36769,28.73527,24.9113,22.31234,18.44418,18.71438,18.57965,22.60368,33.24529,36.79679,26.19631,16.3315,20.51659,23.94397,18.50234,13.43192,11.61015,10.45077,12.51602,13.20793,10.99904,10.71165,12.9555,13.89222,20.90015,25.47351,20.18115
Stock price volatility,Germany,DEU,22.18743,23.95739,16.96776,13.19743,13.97409,13.70665,11.73912,14.8531,23.28774,26.72989,22.58677,22.99107,28.96065,38.05096,25.24676,14.12969,13.63169,15.45808,22.0637,36.12552,26.74103,20.44542,26.59126,18.52831,14.45042,18.34303,23.42877,16.79665,12.49904,14.94337,24.4758,24.37885
Stock price volatility,Italy,ITA,,,,,,,,,34.16833,31.20563,22.20135,21.83965,27.52521,28.67736,17.19718,10.62404,11.84762,13.49241,21.09462,37.96601,30.73364,26.20665,33.01824,27.62747,20.86973,24.10843,29.67103,24.85292,15.67893,17.27391,27.83454,26.71594
Stock price volatility,Canada,CAN,9.093241,9.116957,8.125984,7.820632,9.683888,9.569884,8.235611,9.846744,15.09659,18.96096,19.95185,24.74506,18.23544,15.34598,11.32466,10.63492,11.74154,13.26628,19.92592,37.53035,24.61854,14.26877,17.01751,12.34927,9.530421,11.48874,14.97211,10.78296,8.210422,9.63318,24.27321,22.86709
Stock price volatility,France,FRA,16.83715,21.87012,18.56244,18.66134,17.0398,17.74285,16.04744,16.18176,22.58751,25.68709,21.96577,23.30337,28.23965,35.0341,21.61046,12.78585,12.86654,15.1336,23.55412,37.93958,27.84659,23.46292,27.3564,20.78452,15.40628,18.41038,23.62713,17.37942,11.66965,13.72222,24.65057,24.61805
Stock price volatility,United Kingdom,GBR,12.61174,13.54103,12.91488,13.19988,10.35925,10.52823,8.326374,9.204751,14.11552,18.48333,17.05996,17.34989,20.84927,24.87214,15.04782,9.216077,10.47492,13.4408,22.2326,33.6287,22.77521,17.68835,19.4726,14.07119,11.2449,12.60134,17.39943,13.37846,9.617433,11.70249,21.54198,22.01797
